number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
90.0,0.0,2024-04-12 14:54:53.777412,2024-04-12 14:54:53.875412,0 days 00:00:00.098000,20.0,60.0,0.8,0.21000000000000002,1.0,COMPLETE,,,,,,,
91.0,0.0,2024-04-12 14:54:53.877411,2024-04-12 14:54:53.937411,0 days 00:00:00.060000,20.0,20.0,0.7000000000000001,0.6900000000000001,0.6,COMPLETE,,,,,,,
92.0,0.0,2024-04-12 14:54:53.938411,2024-04-12 14:54:54.000410,0 days 00:00:00.061999,20.0,20.0,0.6,0.75,0.7000000000000001,COMPLETE,,,,,,,
93.0,0.0,2024-04-12 14:54:54.001386,2024-04-12 14:54:54.061411,0 days 00:00:00.060025,20.0,20.0,0.30000000000000004,0.61,0.5,COMPLETE,,,,,,,
94.0,0.0,2024-04-12 14:54:54.062410,2024-04-12 14:54:54.118384,0 days 00:00:00.055974,10.0,30.0,0.8,0.7100000000000001,0.6,COMPLETE,,,,,,,
95.0,0.0,2024-04-12 14:54:54.119411,2024-04-12 14:54:54.178383,0 days 00:00:00.058972,20.0,10.0,0.5,0.67,0.9,COMPLETE,,,,,,,
96.0,0.0,2024-04-12 14:54:54.179384,2024-04-12 14:54:54.236410,0 days 00:00:00.057026,10.0,30.0,0.7000000000000001,0.5700000000000001,1.0,COMPLETE,,,,,,,
97.0,0.0,2024-04-12 14:54:54.237412,2024-04-12 14:54:54.315410,0 days 00:00:00.077998,40.0,20.0,0.1,0.39,0.6,COMPLETE,,,,,,,
98.0,0.0,2024-04-12 14:54:54.316410,2024-04-12 14:54:54.388411,0 days 00:00:00.072001,30.0,20.0,0.6,0.85,0.8,COMPLETE,,,,,,,
99.0,0.0,2024-04-12 14:54:54.389422,2024-04-12 14:54:54.516412,0 days 00:00:00.126990,60.0,30.0,0.4,0.49,0.7000000000000001,COMPLETE,,,,,,,
100.0,0.0,2024-04-12 14:54:54.517412,2024-04-12 14:54:54.578386,0 days 00:00:00.060974,10.0,40.0,0.5,0.73,1.0,COMPLETE,,,,,,,
101.0,0.0,2024-04-12 14:54:54.579386,2024-04-12 14:54:54.655412,0 days 00:00:00.076026,60.0,10.0,0.6,0.79,0.7000000000000001,COMPLETE,,,,,,,
102.0,0.0,2024-04-12 14:54:54.656411,2024-04-12 14:54:54.728385,0 days 00:00:00.071974,50.0,10.0,1.0,0.93,0.8,COMPLETE,,,,,,,
103.0,0.0,2024-04-12 14:54:54.730386,2024-04-12 14:54:54.806411,0 days 00:00:00.076025,60.0,10.0,0.9,0.97,0.9,COMPLETE,,,,,,,
104.0,0.0,2024-04-12 14:54:54.808410,2024-04-12 14:54:54.876412,0 days 00:00:00.068002,50.0,10.0,0.9,0.25,0.9,COMPLETE,,,,,,,
105.0,0.0,2024-04-12 14:54:54.877412,2024-04-12 14:54:54.981675,0 days 00:00:00.104263,60.0,20.0,0.7000000000000001,0.61,0.8,COMPLETE,,,,,,,
106.0,0.0,2024-04-12 14:54:54.982854,2024-04-12 14:54:55.034668,0 days 00:00:00.051814,10.0,10.0,1.0,0.55,0.7000000000000001,COMPLETE,,,,,,,
107.0,0.0,2024-04-12 14:54:55.035641,2024-04-12 14:54:55.106669,0 days 00:00:00.071028,20.0,30.0,0.8,0.67,0.6,COMPLETE,,,,,,,
108.0,0.0,2024-04-12 14:54:55.107668,2024-04-12 14:54:55.194670,0 days 00:00:00.087002,40.0,20.0,0.30000000000000004,0.87,0.30000000000000004,COMPLETE,,,,,,,
109.0,0.0,2024-04-12 14:54:55.195668,2024-04-12 14:54:55.346667,0 days 00:00:00.150999,40.0,60.0,0.2,0.6900000000000001,0.5,COMPLETE,,,,,,,
110.0,0.0,2024-04-12 14:54:55.347668,2024-04-12 14:54:55.407667,0 days 00:00:00.059999,10.0,30.0,0.6,0.65,1.0,COMPLETE,,,,,,,
111.0,0.0,2024-04-12 14:54:55.408669,2024-04-12 14:54:55.488670,0 days 00:00:00.080001,20.0,40.0,0.4,0.37,0.4,COMPLETE,,,,,,,
112.0,0.0,2024-04-12 14:54:55.489666,2024-04-12 14:54:55.586671,0 days 00:00:00.097005,30.0,40.0,0.5,0.29000000000000004,0.2,COMPLETE,,,,,,,
113.0,0.0,2024-04-12 14:54:55.587667,2024-04-12 14:54:55.708667,0 days 00:00:00.121000,30.0,50.0,0.4,0.43,0.30000000000000004,COMPLETE,,,,,,,
114.0,0.0,2024-04-12 14:54:55.709669,2024-04-12 14:54:55.803639,0 days 00:00:00.093970,20.0,50.0,0.30000000000000004,0.63,0.4,COMPLETE,,,,,,,
115.0,0.0,2024-04-12 14:54:55.804639,2024-04-12 14:54:55.917666,0 days 00:00:00.113027,50.0,30.0,0.5,0.45,0.2,COMPLETE,,,,,,,
116.0,0.0,2024-04-12 14:54:55.919666,2024-04-12 14:54:56.023667,0 days 00:00:00.104001,20.0,60.0,0.1,0.47000000000000003,0.30000000000000004,COMPLETE,,,,,,,
117.0,0.0,2024-04-12 14:54:56.024669,2024-04-12 14:54:56.090668,0 days 00:00:00.065999,40.0,10.0,0.6,0.53,1.0,COMPLETE,,,,,,,
118.0,0.0,2024-04-12 14:54:56.092642,2024-04-12 14:54:56.174667,0 days 00:00:00.082025,20.0,40.0,0.9,0.73,0.1,COMPLETE,,,,,,,
119.0,0.0,2024-04-12 14:54:56.175667,2024-04-12 14:54:56.248667,0 days 00:00:00.073000,30.0,20.0,0.7000000000000001,0.35000000000000003,0.6,COMPLETE,,,,,,,
120.0,0.0,2024-04-12 14:54:56.249669,2024-04-12 14:54:56.303667,0 days 00:00:00.053998,10.0,20.0,0.2,0.41000000000000003,0.9,COMPLETE,,,,,,,
121.0,0.0,2024-04-12 14:54:56.304667,2024-04-12 14:54:56.368666,0 days 00:00:00.063999,10.0,40.0,0.4,0.19,0.1,COMPLETE,,,,,,,
122.0,0.0,2024-04-12 14:54:56.369666,2024-04-12 14:54:56.432669,0 days 00:00:00.063003,10.0,40.0,0.4,0.9500000000000001,0.1,COMPLETE,,,,,,,
123.0,0.0,2024-04-12 14:54:56.433669,2024-04-12 14:54:56.492641,0 days 00:00:00.058972,10.0,30.0,0.30000000000000004,0.93,0.2,COMPLETE,,,,,,,
124.0,0.0,2024-04-12 14:54:56.493669,2024-04-12 14:54:56.556668,0 days 00:00:00.062999,10.0,40.0,0.4,0.99,0.5,COMPLETE,,,,,,,
125.0,0.0,2024-04-12 14:54:56.557665,2024-04-12 14:54:56.626668,0 days 00:00:00.069003,10.0,50.0,0.5,0.75,0.30000000000000004,COMPLETE,,,,,,,
