number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_lb,params_s_force,params_ub,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,lb,ub,best_value,record_type
59.0,0.0,2024-04-12 12:58:08.421995,2024-04-12 12:58:08.527998,0 days 00:00:00.106003,100.0,10.0,0.92,0.09,-40.0,0.6799999999999999,70.0,COMPLETE,,,,,,,,,
60.0,0.0,2024-04-12 12:58:08.529973,2024-04-12 12:58:08.701001,0 days 00:00:00.171028,30.0,70.0,0.48,0.8300000000000001,-80.0,0.78,0.0,COMPLETE,,,,,,,,,
61.0,0.0,2024-04-12 12:58:08.701972,2024-04-12 12:58:08.811995,0 days 00:00:00.110023,50.0,20.0,0.58,0.65,0.0,0.36,100.0,COMPLETE,,,,,,,,,
62.0,0.0,2024-04-12 12:58:08.813973,2024-04-12 12:58:08.909996,0 days 00:00:00.096023,40.0,20.0,0.6799999999999999,0.43,-20.0,0.5,90.0,COMPLETE,,,,,,,,,
63.0,0.0,2024-04-12 12:58:08.910973,2024-04-12 12:58:08.983974,0 days 00:00:00.073001,30.0,10.0,0.52,0.53,-10.0,0.4,80.0,COMPLETE,,,,,,,,,
64.0,0.0,2024-04-12 12:58:08.985000,2024-04-12 12:58:09.074287,0 days 00:00:00.089287,60.0,10.0,0.84,0.29000000000000004,-10.0,0.16,90.0,COMPLETE,,,,,,,,,
65.0,0.0,2024-04-12 12:58:09.075351,2024-04-12 12:58:09.188360,0 days 00:00:00.113009,50.0,20.0,0.62,0.9500000000000001,-30.0,0.32,100.0,COMPLETE,,,,,,,,,
66.0,0.0,2024-04-12 12:58:09.189363,2024-04-12 12:58:09.305387,0 days 00:00:00.116024,40.0,30.0,0.74,0.21000000000000002,0.0,0.22,60.0,COMPLETE,,,,,,,,,
67.0,0.0,2024-04-12 12:58:09.306362,2024-04-12 12:58:09.372390,0 days 00:00:00.066028,20.0,10.0,0.44000000000000006,0.35000000000000003,-20.0,0.44000000000000006,90.0,COMPLETE,,,,,,,,,
68.0,0.0,2024-04-12 12:58:09.374362,2024-04-12 12:58:09.470364,0 days 00:00:00.096002,40.0,20.0,0.30000000000000004,0.7100000000000001,-50.0,0.54,80.0,COMPLETE,,,,,,,,,
69.0,0.0,2024-04-12 12:58:09.471364,2024-04-12 12:58:09.567388,0 days 00:00:00.096024,20.0,40.0,0.38,0.43,-10.0,0.62,40.0,COMPLETE,,,,,,,,,
70.0,0.0,2024-04-12 12:58:09.568391,2024-04-12 12:58:09.755387,0 days 00:00:00.186996,30.0,80.0,0.7,0.63,-40.0,0.33999999999999997,50.0,COMPLETE,,,,,,,,,
71.0,0.0,2024-04-12 12:58:09.757362,2024-04-12 12:58:10.006391,0 days 00:00:00.249029,40.0,90.0,0.62,0.77,-10.0,0.96,100.0,COMPLETE,,,,,,,,,
72.0,0.0,2024-04-12 12:58:10.007415,2024-04-12 12:58:10.227322,0 days 00:00:00.219907,30.0,100.0,0.76,0.67,0.0,0.88,90.0,COMPLETE,,,,,,,,,
73.0,0.0,2024-04-12 12:58:10.228348,2024-04-12 12:58:10.493322,0 days 00:00:00.264974,40.0,100.0,0.56,0.59,-20.0,0.94,100.0,COMPLETE,,,,,,,,,
74.0,0.0,2024-04-12 12:58:10.494323,2024-04-12 12:58:10.687006,0 days 00:00:00.192683,30.0,90.0,0.8,0.49,-10.0,1.0,30.0,COMPLETE,,,,,,,,,
75.0,0.0,2024-04-12 12:58:10.688979,2024-04-12 12:58:10.749987,0 days 00:00:00.061008,10.0,10.0,0.64,0.55,-30.0,0.28,90.0,COMPLETE,,,,,,,,,
76.0,0.0,2024-04-12 12:58:10.751001,2024-04-12 12:58:10.961003,0 days 00:00:00.210002,50.0,60.0,0.7,0.73,-20.0,0.9,70.0,COMPLETE,,,,,,,,,
77.0,0.0,2024-04-12 12:58:10.962979,2024-04-12 12:58:11.101010,0 days 00:00:00.138031,20.0,80.0,0.14,0.89,0.0,0.38,100.0,COMPLETE,,,,,,,,,
78.0,0.0,2024-04-12 12:58:11.102003,2024-04-12 12:58:11.319922,0 days 00:00:00.217919,30.0,100.0,0.26,0.81,-20.0,0.6799999999999999,50.0,COMPLETE,,,,,,,,,
79.0,0.0,2024-04-12 12:58:11.321898,2024-04-12 12:58:11.400923,0 days 00:00:00.079025,40.0,10.0,0.88,0.15000000000000002,-10.0,0.96,80.0,COMPLETE,,,,,,,,,
80.0,0.0,2024-04-12 12:58:11.402898,2024-04-12 12:58:11.509807,0 days 00:00:00.106909,20.0,50.0,0.22,0.61,-70.0,0.12000000000000001,60.0,COMPLETE,,,,,,,,,
81.0,0.0,2024-04-12 12:58:11.511785,2024-04-12 12:58:11.728852,0 days 00:00:00.217067,100.0,30.0,0.32,0.77,-30.0,0.56,80.0,COMPLETE,,,,,,,,,
82.0,0.0,2024-04-12 12:58:11.729857,2024-04-12 12:58:11.968900,0 days 00:00:00.239043,80.0,40.0,0.36,0.7100000000000001,-30.0,0.62,90.0,COMPLETE,,,,,,,,,
83.0,0.0,2024-04-12 12:58:11.970878,2024-04-12 12:58:12.123015,0 days 00:00:00.152137,60.0,30.0,0.18,0.65,-20.0,0.5,80.0,COMPLETE,,,,,,,,,
84.0,0.0,2024-04-12 12:58:12.124379,2024-04-12 12:58:12.214802,0 days 00:00:00.090423,30.0,20.0,0.26,0.73,-40.0,0.58,70.0,COMPLETE,,,,,,,,,
85.0,0.0,2024-04-12 12:58:12.215776,2024-04-12 12:58:12.425774,0 days 00:00:00.209998,90.0,30.0,0.66,0.8300000000000001,-10.0,0.92,90.0,COMPLETE,,,,,,,,,
86.0,0.0,2024-04-12 12:58:12.426774,2024-04-12 12:58:12.821776,0 days 00:00:00.395002,70.0,90.0,0.74,0.53,-20.0,0.52,40.0,COMPLETE,,,,,,,,,
87.0,0.0,2024-04-12 12:58:12.822775,2024-04-12 12:58:12.922801,0 days 00:00:00.100026,40.0,20.0,0.1,0.77,-90.0,0.44000000000000006,70.0,COMPLETE,,,,,,,,,
88.0,0.0,2024-04-12 12:58:12.924775,2024-04-12 12:58:13.117775,0 days 00:00:00.193000,50.0,50.0,0.4,0.6900000000000001,-60.0,0.45999999999999996,60.0,COMPLETE,,,,,,,,,
89.0,0.0,2024-04-12 12:58:13.118793,2024-04-12 12:58:13.451791,0 days 00:00:00.332998,90.0,60.0,1.0,0.43,-40.0,0.84,90.0,COMPLETE,,,,,,,,,
90.0,0.0,2024-04-12 12:58:13.452793,2024-04-12 12:58:13.687766,0 days 00:00:00.234973,50.0,70.0,0.58,0.06999999999999999,0.0,0.18,80.0,COMPLETE,,,,,,,,,
91.0,0.0,2024-04-12 12:58:13.688767,2024-04-12 12:58:14.122787,0 days 00:00:00.434020,70.0,100.0,0.82,0.87,0.0,0.76,50.0,COMPLETE,,,,,,,,,
92.0,0.0,2024-04-12 12:58:14.124768,2024-04-12 12:58:14.575787,0 days 00:00:00.451019,80.0,90.0,0.6799999999999999,0.8300000000000001,0.0,0.7,40.0,COMPLETE,,,,,,,,,
93.0,0.0,2024-04-12 12:58:14.577768,2024-04-12 12:58:15.032768,0 days 00:00:00.455000,90.0,80.0,0.64,0.79,-10.0,0.64,60.0,COMPLETE,,,,,,,,,
94.0,0.0,2024-04-12 12:58:15.033768,2024-04-12 12:58:15.234766,0 days 00:00:00.200998,30.0,90.0,0.54,0.81,-80.0,0.82,50.0,COMPLETE,,,,,,,,,
95.0,0.0,2024-04-12 12:58:15.235794,2024-04-12 12:58:15.312788,0 days 00:00:00.076994,10.0,30.0,0.5,0.03,-30.0,0.88,100.0,COMPLETE,,,,,,,,,
96.0,0.0,2024-04-12 12:58:15.314766,2024-04-12 12:58:15.591713,0 days 00:00:00.276947,40.0,100.0,0.72,0.91,0.0,0.74,70.0,COMPLETE,,,,,,,,,
97.0,0.0,2024-04-12 12:58:15.592712,2024-04-12 12:58:15.775739,0 days 00:00:00.183027,60.0,40.0,0.6,0.75,-20.0,0.98,10.0,COMPLETE,,,,,,,,,
98.0,0.0,2024-04-12 12:58:15.777713,2024-04-12 12:58:15.877735,0 days 00:00:00.100022,70.0,10.0,0.78,0.47000000000000003,-10.0,0.24000000000000002,40.0,COMPLETE,,,,,,,,,
99.0,0.0,2024-04-12 12:58:15.878714,2024-04-12 12:58:15.969739,0 days 00:00:00.091025,30.0,20.0,0.44000000000000006,0.87,-100.0,0.30000000000000004,80.0,COMPLETE,,,,,,,,,
100.0,0.0,2024-04-12 12:58:15.971714,2024-04-12 12:58:16.120714,0 days 00:00:00.149000,20.0,80.0,0.32,0.7100000000000001,-20.0,0.78,90.0,COMPLETE,,,,,,,,,
101.0,0.0,2024-04-12 12:58:16.121713,2024-04-12 12:58:16.646714,0 days 00:00:00.525001,90.0,100.0,0.30000000000000004,0.31,-60.0,0.58,10.0,COMPLETE,,,,,,,,,
102.0,0.0,2024-04-12 12:58:16.647743,2024-04-12 12:58:17.127735,0 days 00:00:00.479992,80.0,100.0,0.36,0.39,-50.0,0.54,10.0,COMPLETE,,,,,,,,,
103.0,0.0,2024-04-12 12:58:17.128735,2024-04-12 12:58:17.428715,0 days 00:00:00.299980,50.0,90.0,0.22,0.23,-70.0,0.42000000000000004,20.0,COMPLETE,,,,,,,,,
104.0,0.0,2024-04-12 12:58:17.429714,2024-04-12 12:58:17.739072,0 days 00:00:00.309358,70.0,70.0,0.26,0.11,-50.0,0.33999999999999997,0.0,COMPLETE,,,,,,,,,
105.0,0.0,2024-04-12 12:58:17.740073,2024-04-12 12:58:17.951099,0 days 00:00:00.211026,60.0,50.0,0.86,0.15000000000000002,-30.0,0.66,30.0,COMPLETE,,,,,,,,,
106.0,0.0,2024-04-12 12:58:17.953098,2024-04-12 12:58:18.221096,0 days 00:00:00.267998,40.0,100.0,0.42000000000000004,0.01,-10.0,0.38,60.0,COMPLETE,,,,,,,,,
107.0,0.0,2024-04-12 12:58:18.223074,2024-04-12 12:58:18.433096,0 days 00:00:00.210022,30.0,90.0,0.96,0.49,-40.0,0.48,50.0,COMPLETE,,,,,,,,,
108.0,0.0,2024-04-12 12:58:18.435074,2024-04-12 12:58:18.513096,0 days 00:00:00.078022,20.0,10.0,0.33999999999999997,0.97,-60.0,0.86,100.0,COMPLETE,,,,,,,,,
109.0,0.0,2024-04-12 12:58:18.515075,2024-04-12 12:58:18.790095,0 days 00:00:00.275020,40.0,100.0,0.6799999999999999,0.5700000000000001,-20.0,0.92,90.0,COMPLETE,,,,,,,,,
110.0,0.0,2024-04-12 12:58:18.791101,2024-04-12 12:58:18.943106,0 days 00:00:00.152005,30.0,60.0,0.72,0.45,-10.0,0.72,70.0,COMPLETE,,,,,,,,,
111.0,0.0,2024-04-12 12:58:18.945074,2024-04-12 12:58:19.028073,0 days 00:00:00.082999,10.0,40.0,0.18,0.85,-30.0,0.8,60.0,COMPLETE,,,,,,,,,
112.0,0.0,2024-04-12 12:58:19.029073,2024-04-12 12:58:19.110074,0 days 00:00:00.081001,10.0,40.0,0.14,0.05,-40.0,0.88,80.0,COMPLETE,,,,,,,,,
113.0,0.0,2024-04-12 12:58:19.112075,2024-04-12 12:58:19.188094,0 days 00:00:00.076019,10.0,30.0,0.12000000000000001,0.05,-90.0,0.84,50.0,COMPLETE,,,,,,,,,
114.0,0.0,2024-04-12 12:58:19.189099,2024-04-12 12:58:19.300096,0 days 00:00:00.110997,20.0,50.0,0.16,0.09,-30.0,0.94,70.0,COMPLETE,,,,,,,,,
115.0,0.0,2024-04-12 12:58:19.301095,2024-04-12 12:58:19.392099,0 days 00:00:00.091004,50.0,10.0,0.2,0.67,-50.0,0.9,80.0,COMPLETE,,,,,,,,,
116.0,0.0,2024-04-12 12:58:19.394081,2024-04-12 12:58:19.557073,0 days 00:00:00.162992,100.0,20.0,0.92,0.01,-30.0,0.22,20.0,COMPLETE,,,,,,,,,
117.0,0.0,2024-04-12 12:58:19.558074,2024-04-12 12:58:19.642076,0 days 00:00:00.084002,10.0,40.0,0.28,0.75,-70.0,0.28,90.0,COMPLETE,,,,,,,,,
118.0,0.0,2024-04-12 12:58:19.643075,2024-04-12 12:58:19.754735,0 days 00:00:00.111660,30.0,30.0,0.30000000000000004,0.53,0.0,0.98,60.0,COMPLETE,,,,,,,,,
119.0,0.0,2024-04-12 12:58:19.756713,2024-04-12 12:58:20.111736,0 days 00:00:00.355023,60.0,90.0,0.12000000000000001,0.79,-40.0,0.82,70.0,COMPLETE,,,,,,,,,
120.0,0.0,2024-04-12 12:58:20.112736,2024-04-12 12:58:20.197745,0 days 00:00:00.085009,40.0,10.0,0.64,0.06999999999999999,-20.0,0.62,100.0,COMPLETE,,,,,,,,,
121.0,0.0,2024-04-12 12:58:20.198739,2024-04-12 12:58:20.301735,0 days 00:00:00.102996,20.0,40.0,0.98,0.17,-50.0,0.58,10.0,COMPLETE,,,,,,,,,
122.0,0.0,2024-04-12 12:58:20.302713,2024-04-12 12:58:20.386736,0 days 00:00:00.084023,10.0,40.0,0.9,0.35000000000000003,-40.0,0.48,0.0,COMPLETE,,,,,,,,,
123.0,0.0,2024-04-12 12:58:20.388713,2024-04-12 12:58:20.511738,0 days 00:00:00.123025,20.0,60.0,0.94,0.29000000000000004,-50.0,0.52,50.0,COMPLETE,,,,,,,,,
124.0,0.0,2024-04-12 12:58:20.512713,2024-04-12 12:58:20.653715,0 days 00:00:00.141002,30.0,50.0,0.6,0.25,-50.0,0.6,20.0,COMPLETE,,,,,,,,,
125.0,0.0,2024-04-12 12:58:20.654714,2024-04-12 12:58:20.747736,0 days 00:00:00.093022,30.0,20.0,0.24000000000000002,0.11,-80.0,0.7,30.0,COMPLETE,,,,,,,,,
126.0,0.0,2024-04-12 12:58:20.749737,2024-04-12 12:58:20.854735,0 days 00:00:00.104998,20.0,40.0,0.86,0.61,-20.0,0.1,80.0,COMPLETE,,,,,,,,,
127.0,0.0,2024-04-12 12:58:20.855714,2024-04-12 12:58:20.960755,0 days 00:00:00.105041,10.0,80.0,0.76,0.19,-30.0,0.78,10.0,COMPLETE,,,,,,,,,
128.0,0.0,2024-04-12 12:58:20.961715,2024-04-12 12:58:21.076715,0 days 00:00:00.115000,30.0,30.0,0.9,0.51,-10.0,0.33999999999999997,60.0,COMPLETE,,,,,,,,,
129.0,0.0,2024-04-12 12:58:21.077715,2024-04-12 12:58:21.244736,0 days 00:00:00.167021,20.0,100.0,0.82,0.03,-40.0,0.26,90.0,COMPLETE,,,,,,,,,
130.0,0.0,2024-04-12 12:58:21.245713,2024-04-12 12:58:21.602738,0 days 00:00:00.357025,80.0,70.0,0.36,0.77,0.0,0.52,40.0,COMPLETE,,,,,,,,,
131.0,0.0,2024-04-12 12:58:21.603735,2024-04-12 12:58:21.918974,0 days 00:00:00.315239,70.0,70.0,0.8,0.33,-60.0,0.64,30.0,COMPLETE,,,,,,,,,
132.0,0.0,2024-04-12 12:58:21.919972,2024-04-12 12:58:22.278087,0 days 00:00:00.358115,60.0,90.0,0.94,0.39,-50.0,0.74,30.0,COMPLETE,,,,,,,,,
133.0,0.0,2024-04-12 12:58:22.280065,2024-04-12 12:58:22.509061,0 days 00:00:00.228996,50.0,60.0,0.78,0.55,-60.0,0.72,20.0,COMPLETE,,,,,,,,,
