number,value,datetime_start,datetime_complete,duration,params_gene_max,params_gene_min,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,gene_min,gene_max,var,best_value,record_type
68.0,0.0021245017122755896,2024-04-26 00:45:09.980406,2024-04-26 00:45:11.516245,0 days 00:00:01.535839,320.0,-200.0,0.4,740.0,310.0,2.0,COMPLETE,,,,,,,,
69.0,0.0019826460713664707,2024-04-26 00:45:11.517247,2024-04-26 00:45:13.111089,0 days 00:00:01.593842,500.0,-180.0,0.1,660.0,390.0,2.0,COMPLETE,,,,,,,,
70.0,0.00471220395071734,2024-04-26 00:45:13.112089,2024-04-26 00:45:13.461376,0 days 00:00:00.349287,260.0,-140.0,0.30000000000000004,460.0,110.0,2.0,COMPLETE,,,,,,,,
71.0,0.00014438109298841,2024-04-26 00:45:13.462380,2024-04-26 00:45:15.466662,0 days 00:00:02.004282,440.0,-120.0,0.30000000000000004,900.0,350.0,2.0,COMPLETE,,,,,,,,
72.0,0.0004504351507795322,2024-04-26 00:45:15.467665,2024-04-26 00:45:17.390632,0 days 00:00:01.922967,440.0,-100.0,0.30000000000000004,900.0,330.0,2.0,COMPLETE,,,,,,,,
73.0,0.0010696421305791078,2024-04-26 00:45:17.392638,2024-04-26 00:45:20.087541,0 days 00:00:02.694903,360.0,-160.0,0.4,980.0,410.0,2.0,COMPLETE,,,,,,,,
74.0,0.0008132068040445,2024-04-26 00:45:20.088543,2024-04-26 00:45:22.519685,0 days 00:00:02.431142,460.0,-140.0,0.2,820.0,470.0,2.0,COMPLETE,,,,,,,,
75.0,0.0005201356816271325,2024-04-26 00:45:22.520684,2024-04-26 00:45:24.585442,0 days 00:00:02.064758,500.0,-80.0,0.30000000000000004,860.0,370.0,2.0,COMPLETE,,,,,,,,
76.0,0.001455574949804954,2024-04-26 00:45:24.586448,2024-04-26 00:45:26.381257,0 days 00:00:01.794809,480.0,-20.0,0.2,740.0,390.0,2.0,COMPLETE,,,,,,,,
77.0,0.0003923557404395856,2024-04-26 00:45:26.382257,2024-04-26 00:45:28.899867,0 days 00:00:02.517610,460.0,-120.0,0.1,900.0,450.0,2.0,COMPLETE,,,,,,,,
78.0,0.0005684176684026207,2024-04-26 00:45:28.900889,2024-04-26 00:45:30.950773,0 days 00:00:02.049884,420.0,-180.0,0.1,780.0,430.0,2.0,COMPLETE,,,,,,,,
