number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
96.0,-987.7444097087775,2024-04-25 22:49:11.167312,2024-04-25 22:49:13.818770,0 days 00:00:02.651458,0.6,420.0,490.0,2.0,COMPLETE,,,,,,
97.0,-987.7354567494895,2024-04-25 22:49:13.819749,2024-04-25 22:49:16.710668,0 days 00:00:02.890919,0.5,480.0,470.0,2.0,COMPLETE,,,,,,
98.0,-986.0899227528705,2024-04-25 22:49:16.712644,2024-04-25 22:49:21.151091,0 days 00:00:04.438447,0.4,560.0,630.0,2.0,COMPLETE,,,,,,
99.0,-985.6047766611944,2024-04-25 22:49:21.152089,2024-04-25 22:49:25.208227,0 days 00:00:04.056138,0.6,520.0,590.0,1.0,COMPLETE,,,,,,
100.0,-897.6236607965831,2024-04-25 22:49:25.209229,2024-04-25 22:49:25.329250,0 days 00:00:00.120021,0.5,620.0,10.0,2.0,COMPLETE,,,,,,
101.0,-986.6797554632192,2024-04-25 22:49:25.330250,2024-04-25 22:49:29.507217,0 days 00:00:04.176967,0.5,600.0,550.0,2.0,COMPLETE,,,,,,
102.0,-989.7061441652643,2024-04-25 22:49:29.509240,2024-04-25 22:49:33.614666,0 days 00:00:04.105426,0.7000000000000001,460.0,670.0,2.0,COMPLETE,,,,,,
103.0,-989.1247333765716,2024-04-25 22:49:33.615658,2024-04-25 22:49:37.128392,0 days 00:00:03.512734,0.7000000000000001,460.0,580.0,2.0,COMPLETE,,,,,,
104.0,-986.2402376474625,2024-04-25 22:49:37.129372,2024-04-25 22:49:40.976914,0 days 00:00:03.847542,0.7000000000000001,440.0,660.0,2.0,COMPLETE,,,,,,
105.0,-983.0532545829703,2024-04-25 22:49:40.978893,2024-04-25 22:49:44.311586,0 days 00:00:03.332693,0.6,400.0,630.0,2.0,COMPLETE,,,,,,
106.0,-989.2180311195584,2024-04-25 22:49:44.312589,2024-04-25 22:49:48.874314,0 days 00:00:04.561725,0.7000000000000001,540.0,610.0,2.0,COMPLETE,,,,,,
