number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
112.0,0.0016879294540644704,2024-04-26 00:35:30.851610,2024-04-26 00:35:32.518217,0 days 00:00:01.666607,0.1,940.0,290.0,1.0,COMPLETE,,,,,,
113.0,0.002123788408219902,2024-04-26 00:35:32.519216,2024-04-26 00:35:33.860312,0 days 00:00:01.341096,0.1,860.0,250.0,1.0,COMPLETE,,,,,,
114.0,0.0033472169718214394,2024-04-26 00:35:33.861310,2024-04-26 00:35:35.350984,0 days 00:00:01.489674,0.1,780.0,310.0,1.0,COMPLETE,,,,,,
115.0,0.004117577768622138,2024-04-26 00:35:35.352135,2024-04-26 00:35:37.118594,0 days 00:00:01.766459,0.2,860.0,310.0,1.0,COMPLETE,,,,,,
116.0,0.0007621060940895537,2024-04-26 00:35:37.119594,2024-04-26 00:35:38.598154,0 days 00:00:01.478560,0.1,900.0,270.0,1.0,COMPLETE,,,,,,
117.0,0.006078168051987363,2024-04-26 00:35:38.600158,2024-04-26 00:35:39.542153,0 days 00:00:00.941995,0.30000000000000004,980.0,150.0,2.0,COMPLETE,,,,,,
118.0,0.0022389083495490836,2024-04-26 00:35:39.543154,2024-04-26 00:35:40.732430,0 days 00:00:01.189276,0.7000000000000001,460.0,330.0,1.0,COMPLETE,,,,,,
119.0,0.005538208835002481,2024-04-26 00:35:40.734431,2024-04-26 00:35:42.046975,0 days 00:00:01.312544,0.2,580.0,350.0,1.0,COMPLETE,,,,,,
120.0,0.004538935974256305,2024-04-26 00:35:42.048999,2024-04-26 00:35:42.951971,0 days 00:00:00.902972,0.1,500.0,290.0,1.0,COMPLETE,,,,,,
121.0,0.00044003017815346133,2024-04-26 00:35:42.952972,2024-04-26 00:35:43.983388,0 days 00:00:01.030416,0.1,980.0,170.0,1.0,COMPLETE,,,,,,
122.0,0.0028674981090587737,2024-04-26 00:35:43.984366,2024-04-26 00:35:44.776389,0 days 00:00:00.792023,0.1,940.0,130.0,1.0,COMPLETE,,,,,,
123.0,0.0014325248028727914,2024-04-26 00:35:44.778390,2024-04-26 00:35:45.677387,0 days 00:00:00.898997,0.1,980.0,150.0,1.0,COMPLETE,,,,,,
124.0,0.001212727406087679,2024-04-26 00:35:45.679389,2024-04-26 00:35:46.831186,0 days 00:00:01.151797,0.1,900.0,210.0,1.0,COMPLETE,,,,,,
